account,slot,name,filter,error,odds_band,plbf,bets,sys_key,fingerprint
noggin,11,SS MM HDGRdiff GB NH AW clss5and6 5.51 - 100.00,"TEST PASSED LEGALLY1 AND fcve  BETWEEN 4 and 100 AND lastrun  BETWEEN 11 and 240 AND nh_flat_aw_id  IN (1,3) AND classincirish  IN (5,6) AND horsecountry  IN (1) AND bestplace3 NOT IN (1) AND careerruns>0 AND race_date>='2011-12-28' AND headgear <> headgearlr AND dateyears >=2003",,5.51 - 100.00,20.53,161.0,noggin:11,"(frozenset({'classincirish IN (5,6)', 'nh_flat_aw_id IN (1,3)', 'horsecountry IN (1)', 'lastrun BETWEEN 11 and 240', 'TEST PASSED LEGALLY1', 'headgear <> headgearlr', 'bestplace3 NOT IN (1)', 'careerruns>0', ""race_date>='2011-12-28'"", 'fcve BETWEEN 4 and 100'}), '5.51 - 100.00')"
noggin,12,NH D&G All BSPs,"TEST PASSED LEGALLY1 AND horse_age  BETWEEN 6 and 16 AND careerruns NOT BETWEEN 5 and 14 AND distanceruns NOT BETWEEN 1 and 3 AND goingruns  BETWEEN 4 and 26 AND distancewins  BETWEEN 1 and 220 AND goingwins  BETWEEN 1 and 220 AND r2number_of_runners  BETWEEN 7 and 40 AND nh_flat_aw_id  IN ( 1 ) AND datemonthofyear  IN ( 2,3,4,5,6,7,8,9 ) AND horsecountry  IN ( 1,2 ) AND classmove  IN ( -2,-1,0,1,2,3 ) AND r2nh_flat_aw_id  IN ( 1,3 ) AND careerruns>0 AND dateyears >=2003",,none,146.52,1258.0,noggin:12,"(frozenset({'r2nh_flat_aw_id IN (1,3)', 'distancewins BETWEEN 1 and 220', 'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (1)', 'goingruns BETWEEN 4 and 26', 'classmove IN (-2,-1,0,1,2,3)', 'datemonthofyear IN (2,3,4,5,6,7,8,9)', 'horse_age BETWEEN 6 and 16', 'horsecountry IN (1,2)', 'careerruns>0', 'careerruns NOT BETWEEN 5 and 14', 'goingwins BETWEEN 1 and 220', 'r2number_of_runners BETWEEN 7 and 40', 'distanceruns NOT BETWEEN 1 and 3'}), 'none')"
noggin,13,4YO FMs JUNE,"TEST PASSED LEGALLY1 AND number_of_runners  BETWEEN 8 and 40 AND dateweek  BETWEEN 23 and 25 AND horse_age = 4 AND seasonalruns  BETWEEN 0 and 4 AND r2number_of_runners  BETWEEN 6 and 35 AND lastrun NOT BETWEEN 61 and 180 AND horsesex = 2 AND tonguetie = 0 AND nh_flat_aw_id  IN ( 2 ) AND classincirish  IN ( 1,5,6 ) AND horsecountry  IN ( 1 ) AND bestplace3  IN ( 2,3,4,5,6,7,8,9 ) AND bestplace5 NOT IN ( 2 ) AND distancemove NOT IN ( 330,440,550,660,770,880,990,1100,1210,1320,1430,1540,1650,1760,1870,1980,2090,2200,2310,2420,2530,2640,2750,2860,2970 ) AND r2nh_flat_aw_id  IN ( 2,3 ) AND careerruns>0 AND dateyears >=2003",,none,13.47,183.0,noggin:13,"(frozenset({'number_of_runners BETWEEN 8 and 40', 'horsesex = 2', 'nh_flat_aw_id IN (2)', 'horse_age = 4', 'dateweek BETWEEN 23 and 25', 'distancemove NOT IN (330,440,550,660,770,880,990,1100,1210,1320,1430,1540,1650,1760,1870,1980,2090,2200,2310,2420,2530,2640,2750,2860,2970)', 'lastrun NOT BETWEEN 61 and 180', 'classincirish IN (1,5,6)', 'careerruns>0', 'horsecountry IN (1)', 'TEST PASSED LEGALLY1', 'seasonalruns BETWEEN 0 and 4', 'r2nh_flat_aw_id IN (2,3)', 'r2number_of_runners BETWEEN 6 and 35', 'bestplace3 IN (2,3,4,5,6,7,8,9)', 'bestplace5 NOT IN (2)', 'tonguetie = 0'}), 'none')"
noggin,14,SS 1 MILE STR HDGRdiff 6.51 - 1000.00,"TEST PASSED LEGALLY1 AND yards = 1760 AND horse_age  BETWEEN 4 and 7 AND totaldistbt  BETWEEN 5.05 and 30 AND rt1_id = 1 AND nh_flat_aw_id  IN (2) AND trackdirection  IN (3) AND datemonthofyear  IN (5,6,7,8,9,10,11) AND horsecountry  IN (1,2) AND distancemove  IN (-880,-770,-660,-550,-440,-330,-220,-110,0,110,220) AND careerruns>0 AND careerruns>0 AND headgear <> headgearlr AND dateyears >=2003",,6.51 - 1000.00,28.85,23.0,noggin:14,"(frozenset({'headgear <> headgearlr', 'TEST PASSED LEGALLY1', 'datemonthofyear IN (5,6,7,8,9,10,11)', 'horse_age BETWEEN 4 and 7', 'nh_flat_aw_id IN (2)', 'horsecountry IN (1,2)', 'distancemove IN (-880,-770,-660,-550,-440,-330,-220,-110,0,110,220)', 'trackdirection IN (3)', 'careerruns>0', 'yards = 1760', 'rt1_id = 1', 'totaldistbt BETWEEN 5.05 and 30'}), '6.51 - 1000.00')"
noggin,15,SS SouthwellAW  7f,"TEST PASSED LEGALLY1 AND yards = 1540 AND seasonalruns  BETWEEN 1 and 6 AND distancewins  BETWEEN 0 and 1 AND totaldistbt NOT BETWEEN 0 and 2 AND nh_flat_aw_id  IN ( 3 ) AND track_id  IN ( 68 ) AND class_id  IN ( 4,5,6 ) AND horsecountry  IN ( 2,3 ) AND bestplace10  IN ( 1,2,3 ) AND r2nh_flat_aw_id  IN ( 2,3 ) AND careerruns>0 AND country_id=1 AND careerruns>0 AND dateyears >=2003",,none,27.81,179.0,noggin:15,"(frozenset({'horsecountry IN (2,3)', 'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (3)', 'distancewins BETWEEN 0 and 1', 'country_id=1', 'seasonalruns BETWEEN 1 and 6', 'r2nh_flat_aw_id IN (2,3)', 'totaldistbt NOT BETWEEN 0 and 2', 'careerruns>0', 'track_id IN (68)', 'bestplace10 IN (1,2,3)', 'yards = 1540', 'class_id IN (4,5,6)'}), 'none')"
noggin,16,7YO FLAT Aug - Nov,"TEST PASSED LEGALLY1 AND horse_age = 7 AND trackruns NOT BETWEEN 3 and 6 AND distanceruns <> 0 AND seasonalruns <> 1 AND totaldistbt  BETWEEN 2.05 and 1999 AND country_id = 1 AND nh_flat_aw_id  IN ( 2 ) AND datemonthofyear  IN ( 8,9,10 ) AND horsecountry NOT IN ( 1 ) AND headgear NOT IN ( 1 ) AND bestplace3  IN ( 1,2,3,4,5 ) AND bestplace10  IN ( 1,2 ) AND r2nh_flat_aw_id  IN ( 2,3 ) AND d2jockeys_claim  IN ( 0 ) AND careerruns>0 AND careerruns>0 AND dateyears >=2003",,none,30.74,150.0,noggin:16,"(frozenset({'datemonthofyear IN (8,9,10)', 'nh_flat_aw_id IN (2)', 'bestplace3 IN (1,2,3,4,5)', 'country_id = 1', 'd2jockeys_claim IN (0)', 'bestplace10 IN (1,2)', 'trackruns NOT BETWEEN 3 and 6', 'careerruns>0', 'distanceruns <> 0', 'TEST PASSED LEGALLY1', 'headgear NOT IN (1)', 'totaldistbt BETWEEN 2.05 and 1999', 'horse_age = 7', 'r2nh_flat_aw_id IN (2,3)', 'horsecountry NOT IN (1)', 'seasonalruns <> 1'}), 'none')"
noggin,17,GELDED 7.01 - 65.00,"TEST PASSED LEGALLY1 AND yards  BETWEEN 1760 and 1870 AND horse_age  BETWEEN 5 and 7 AND nh_flat_aw_id  IN ( 2 ) AND bestplace10  IN ( 2,3,4,5 ) AND d2placing NOT IN ( 1,2,3,4,5,6 ) AND d2jockeys_claim  IN ( 0 ) AND careerruns>0 AND dateyears >=2003",,7.01 - 65.00,138.12,333.0,noggin:17,"(frozenset({'horse_age BETWEEN 5 and 7', 'd2placing NOT IN (1,2,3,4,5,6)', 'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (2)', 'yards BETWEEN 1760 and 1870', 'd2jockeys_claim IN (0)', 'careerruns>0', 'bestplace10 IN (2,3,4,5)'}), '7.01 - 65.00')"
noggin,18,HDGRdiff JULY 14.01-400.00,"TEST PASSED LEGALLY1 AND dateweek  BETWEEN 23 and 31 AND horse_age  BETWEEN 4 and 15 AND bestplace10  IN (1,2,3,4) AND headgear <> headgearlr AND dateyears >=2003",,14.01 - 400.00,-59.79,121.0,noggin:18,"(frozenset({'horse_age BETWEEN 4 and 15', 'bestplace10 IN (1,2,3,4)', 'headgear <> headgearlr', 'TEST PASSED LEGALLY1', 'dateweek BETWEEN 23 and 31'}), '14.01 - 400.00')"
noggin,19,SS 4YO GELDED 12.01-1000.00,"TEST PASSED LEGALLY1 AND horse_age = 4 AND careerruns  BETWEEN 10 and 21 AND lastrun  BETWEEN 15 and 60 AND runsgelded  BETWEEN 8 and 14 AND country_id = 1 AND nh_flat_aw_id  IN (2) AND datemonthofyear  IN (6,7) AND detailedsex  IN (3) AND distancemove NOT IN (440,550,660,770,880,990,1100,1210,1320,1430,1540,1760,1980) AND careerruns>0 AND race_date>='2011-12-28' AND detailedsex=3 and careerruns>0 AND dateyears >=2003",,12.01 - 1000.00,-2.27,14.0,noggin:19,"(frozenset({'datemonthofyear IN (6,7)', 'lastrun BETWEEN 15 and 60', 'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (2)', 'horse_age = 4', 'detailedsex IN (3)', 'country_id = 1', 'detailedsex=3 and careerruns>0', 'runsgelded BETWEEN 8 and 14', 'distancemove NOT IN (440,550,660,770,880,990,1100,1210,1320,1430,1540,1760,1980)', 'careerruns BETWEEN 10 and 21', 'careerruns>0', ""race_date>='2011-12-28'""}), '12.01 - 1000.00')"
noggin,20,7YOs AW LTO LL,TEST PASSED LEGALLY1 AND horse_age = 7 AND distanceruns  BETWEEN 0 and 25 AND seasonalruns = 0 AND lastrun  BETWEEN 1 and 240 AND country_id = 1 AND nh_flat_aw_id  IN ( 2 ) AND r2nh_flat_aw_id  IN ( 3 ) AND d2fav_j_fav  IN ( 0 ) AND careerruns>0 AND dateyears >=2003,,none,292.99,577.0,noggin:20,"(frozenset({'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (2)', 'distanceruns BETWEEN 0 and 25', 'horse_age = 7', 'd2fav_j_fav IN (0)', 'country_id = 1', 'lastrun BETWEEN 1 and 240', 'seasonalruns = 0', 'careerruns>0', 'r2nh_flat_aw_id IN (3)'}), 'none')"
noggin,22,SS Hurdle HDGRdiff DSLRs x2,"TEST PASSED LEGALLY1 AND horse_age  BETWEEN 6 and 9 AND lastrun  BETWEEN 31 and 240 AND lasttoslast  BETWEEN 76 and 365 AND nh_flat_aw_id  IN ( 1 ) AND classincirish  IN ( 4,5 ) AND longlistracecat  IN ( 15,29 ) AND datemonthofyear  IN ( 2,3,4,5,6,7,8,9,10 ) AND horsecountry  IN ( 1,2 ) AND bestplace3  IN ( 1,2,3,4,5,6,7,8 ) AND careerruns>0 AND careerruns>1 AND headgear <> headgearlr AND dateyears >=2003",,none,-25.5,242.0,noggin:22,"(frozenset({'bestplace3 IN (1,2,3,4,5,6,7,8)', 'headgear <> headgearlr', 'classincirish IN (4,5)', 'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (1)', 'longlistracecat IN (15,29)', 'datemonthofyear IN (2,3,4,5,6,7,8,9,10)', 'careerruns>0', 'horsecountry IN (1,2)', 'horse_age BETWEEN 6 and 9', 'lasttoslast BETWEEN 76 and 365', 'lastrun BETWEEN 31 and 240', 'careerruns>1'}), 'none')"
noggin,23,SS 4YO 5F 5.5F 9.01 - 1000.00,"TEST PASSED LEGALLY1 AND yards  BETWEEN 1100 and 1210 AND horse_age = 4 AND datemonthofyear  IN ( 7,8,9,10,11 ) AND headgearlr  IN ( 2 ) AND careerruns>0 AND dateyears >=2003",,9.01 - 1000.00,190.11,164.0,noggin:23,"(frozenset({'headgearlr IN (2)', 'TEST PASSED LEGALLY1', 'yards BETWEEN 1100 and 1210', 'careerruns>0', 'datemonthofyear IN (7,8,9,10,11)', 'horse_age = 4'}), '9.01 - 1000.00')"
noggin,24,MM IRISH NH 9.01 - 200.00,"TEST PASSED LEGALLY1 AND fcve  BETWEEN 4 and 13 AND distanceruns  BETWEEN 0 and 3 AND country_id = 2 AND nh_flat_aw_id  IN ( 1 ) AND bestplace5  IN ( 1,2,3,4,5,6,7,8,9,10,11 ) AND r2nh_flat_aw_id  IN ( 1,2 ) AND careerruns>0 AND race_date>='2011-12-28' AND dateyears >=2003",,9.01 - 200.00,-157.36,1293.0,noggin:24,"(frozenset({'country_id = 2', 'nh_flat_aw_id IN (1)', 'TEST PASSED LEGALLY1', 'bestplace5 IN (1,2,3,4,5,6,7,8,9,10,11)', 'fcve BETWEEN 4 and 13', 'r2nh_flat_aw_id IN (1,2)', 'distanceruns BETWEEN 0 and 3', 'careerruns>0', ""race_date>='2011-12-28'""}), '9.01 - 200.00')"
noggin,25,SS MM NH 6-36 RUNS 12.01 - 300.00,"TEST PASSED LEGALLY1 AND horse_age  BETWEEN 3 and 9 AND fcve  BETWEEN 4 and 100 AND careerruns  BETWEEN 6 and 37 AND distanceruns  BETWEEN 0 and 5 AND lastrun  BETWEEN 26 and 240 AND nh_flat_aw_id  IN ( 1 ) AND trackdirection  IN ( 1,2 ) AND headgear NOT IN ( 1 ) AND r2trackdirection  IN ( 1,2,8 ) AND careerruns>0 AND race_date>='2011-12-28' AND dateyears >=2003",,12.01 - 300.00,-26.73,1845.0,noggin:25,"(frozenset({""race_date>='2011-12-28'"", 'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (1)', 'headgear NOT IN (1)', 'trackdirection IN (1,2)', 'careerruns BETWEEN 6 and 37', 'distanceruns BETWEEN 0 and 5', 'horse_age BETWEEN 3 and 9', 'careerruns>0', 'r2trackdirection IN (1,2,8)', 'lastrun BETWEEN 26 and 240', 'fcve BETWEEN 4 and 100'}), '12.01 - 300.00')"
noggin,26,ssBATH HDGRdiff 8.01 - 150.00,"TEST PASSED LEGALLY1 AND yards NOT BETWEEN 2200 and 2530 AND track_id  IN ( 6 ) AND bestplace10  IN ( 2,3,4 ) AND distancemove NOT IN ( 0,110,220 ) AND careerruns>0 AND headgear <> headgearlr AND dateyears >=2003",,8.01 - 150.00,43.23,68.0,noggin:26,"(frozenset({'headgear <> headgearlr', 'track_id IN (6)', 'TEST PASSED LEGALLY1', 'distancemove NOT IN (0,110,220)', 'careerruns>0', 'bestplace10 IN (2,3,4)', 'yards NOT BETWEEN 2200 and 2530'}), '8.01 - 150.00')"
noggin,27,SS MM DUNDALK MM 2.01 - 100.00,"TEST PASSED LEGALLY1 AND yards  BETWEEN 1540 and 3520 AND fcve  BETWEEN 4 and 30 AND trackruns  BETWEEN 0 and 25 AND lastrun  BETWEEN 16 and 90 AND horsesex = 1 AND nh_flat_aw_id  IN ( 3 ) AND track_id  IN ( 22 ) AND bestplace3  IN ( 1,2,3,4,5,6,7,8 ) AND careerruns>0 AND race_date>='2011-12-28' AND dateyears >=2003",,2.01 - 100.00,20.4,398.0,noggin:27,"(frozenset({'bestplace3 IN (1,2,3,4,5,6,7,8)', 'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (3)', 'fcve BETWEEN 4 and 30', 'trackruns BETWEEN 0 and 25', 'lastrun BETWEEN 16 and 90', 'careerruns>0', 'horsesex = 1', 'track_id IN (22)', ""race_date>='2011-12-28'"", 'yards BETWEEN 1540 and 3520'}), '2.01 - 100.00')"
noggin,28,SS MM AW 5f 6f MM all BSPs,"TEST PASSED LEGALLY1 AND yards  BETWEEN 1100 and 1320 AND horse_age  BETWEEN 5 and 11 AND fcve  BETWEEN 2 and 30 AND horseyearwins  BETWEEN 0 and 2 AND r2number_of_runners  BETWEEN 5 and 12 AND lastrun NOT BETWEEN 11 and 25 AND nh_flat_aw_id  IN ( 3 ) AND trackdirection  IN ( 1,2 ) AND datemonthofyear  IN ( 1,2,3,4,5,12 ) AND headgear NOT IN ( 23 ) AND r2nh_flat_aw_id  IN ( 3 ) AND r2trackdirection  IN ( 1,2 ) AND careerruns>0 AND race_date>='2011-12-28' AND dateyears >=2003",,none,-13.22,233.0,noggin:28,"(frozenset({'TEST PASSED LEGALLY1', 'nh_flat_aw_id IN (3)', 'trackdirection IN (1,2)', 'fcve BETWEEN 2 and 30', 'careerruns>0', 'horseyearwins BETWEEN 0 and 2', 'yards BETWEEN 1100 and 1320', 'lastrun NOT BETWEEN 11 and 25', 'r2number_of_runners BETWEEN 5 and 12', 'headgear NOT IN (23)', 'horse_age BETWEEN 5 and 11', 'r2nh_flat_aw_id IN (3)', 'datemonthofyear IN (1,2,3,4,5,12)', 'r2trackdirection IN (1,2)', ""race_date>='2011-12-28'""}), 'none')"
